migrant_housing,county
1,Autauga County
11,Baldwin County
0,Barbour County
0,Bibb County
2,Blount County
0,Bullock County
0,Butler County
2,Calhoun County
2,Chambers County
0,Cherokee County
6,Chilton County
0,Choctaw County
6,Clarke County
1,Clay County
0,Cleburne County
0,Coffee County
5,Colbert County
1,Conecuh County
1,Coosa County
2,Covington County
0,Crenshaw County
2,Cullman County
2,Dale County
6,Dallas County
9,DeKalb County
0,Elmore County
0,Escambia County
14,Etowah County
1,Fayette County
0,Franklin County
2,Geneva County
0,Greene County
1,Hale County
5,Henry County
4,Houston County
2,Jackson County
9,Jefferson County
0,Lamar County
1,Lauderdale County
2,Lawrence County
7,Lee County
17,Limestone County
0,Lowndes County
0,Macon County
17,Madison County
2,Marengo County,
0,Marion County,
1,Marshall County,
18,Mobile County,
1,Monroe County,
4,Montgomery County,
3,Morgan County,
0,Perry County,
4,Pickens County,
1,Pike County,
0,Randolph County,
10,Russell County,
4,St. Clair County,
9,Shelby County,
0,Sumter County,
0,Talladega County,
2,Tallapoosa County,
17,Tuscaloosa County,
11,Walker County,
9,Washington County,
1,Wilcox County,
0,Winston County,