county,poke_ratio
Alcona County,1.5240042613636364
Alger County,1.5243200000000001
Allegan County,1.5842738474770646
Alpena County,1.5711122194295704
Antrim County,1.5673893150684934
Arenac County,1.5312592514036183
Baraga County,1.82942
Barry County,1.6055451410373067
Bay County,1.6067955717100348
Benzie County,1.5975641791044775
Berrien County,1.611277949093445
Branch County,1.5859928308400457
Calhoun County,1.7229074104343536
Cass County,1.6458480944421223
Charlevoix County,1.5231450894477572
Cheboygan County,1.5233170748898681
Chippewa County,1.8036640720795365
Clare County,1.6264531301008165
Clinton County,1.6367029803761242
Crawford County,1.5311914650042504
Delta County,1.7315413165266107
Dickinson County,1.7007097613065325
Eaton County,1.5716437502509537
Emmet County,1.5610732850305769
Genesee County,1.5811333190433976
Gladwin County,1.679743280669145
Gogebic County,1.77113
Grand Traverse County,1.5731691316258045
Gratiot County,1.865043382928739
Hillsdale County,1.5524931735985534
Houghton County,1.6156426304801668
Huron County,1.6634590812720849
Ingham County,1.5977943396800292
Ionia County,1.528933352631579
Iosco County,1.5472046752246473
Iron County,1.6780625523012553
Isabella County,1.7291214163822526
Jackson County,1.6264456882866993
Kalamazoo County,1.6824499369470487
Kalkaska County,1.5281266523605153
Kent County,1.664542957591738
Lake County,1.5209173484848486
Lapeer County,1.5568411070507309
Leelanau County,1.4697898529411766
Lenawee County,1.5351433553537024
Livingston County,1.625470869215292
Luce County,1.8264200000000002
Mackinac County,1.681644441656211
Macomb County,1.5729858492819484
Manistee County,1.550820686427457
Marquette County,2.217112567084079
Mason County,1.7820386666666672
Mecosta County,1.5886301292596947
Menominee County,1.6619400000000002
Midland County,1.6788114699716368
Missaukee County,1.537319138731305
Monroe County,1.5384656567227486
Montcalm County,1.6642345419034095
Montmorency County,1.524787072072072
Muskegon County,1.840780856181251
Newaygo County,1.5744026826439892
Oakland County,1.5374627512607733
Oceana County,1.5686852032520329
Ogemaw County,1.5561772423466278
Ontonagon County,1.7525012371134019
Osceola County,1.5374801226993866
Oscoda County,1.5243200000000001
Otsego County,1.6229334149855905
Ottawa County,1.5958343633333334
Presque Isle County,1.5762906931702345
Roscommon County,1.5405590372670805
Saginaw County,1.62548394071826
Sanilac County,1.5589668097560976
Schoolcraft County,1.82642
Shiawassee County,1.6037479829696648
St. Clair County,1.5566719087958634
St. Joseph County,1.5886547626977519
Tuscola County,1.581879597056118
Van Buren County,1.6202626152737751
Washtenaw County,1.6405269661981126
Wayne County,1.5632901133152122
Wexford County,1.5470845751482039